bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.376091954022988700e-02
6.000000000000000000e+00,4.558744855967078458e-01
7.000000000000000000e+00,6.460190755685986108e-01
8.000000000000000000e+00,7.323018354860639789e-01
9.000000000000000000e+00,7.506303915063038401e-01
1.000000000000000000e+01,7.470254010695187574e-01
1.100000000000000000e+01,6.642468401486988361e-01
1.200000000000000000e+01,7.018647887323944401e-01
1.300000000000000000e+01,7.320327645051194487e-01
1.400000000000000000e+01,6.469349655700076251e-01
1.500000000000000000e+01,6.965951359084405770e-01
1.600000000000000000e+01,6.496913946587538069e-01
1.700000000000000000e+01,6.797274725274725649e-01
1.800000000000000000e+01,6.602636704119849709e-01
1.900000000000000000e+01,7.026467661691542244e-01
2.000000000000000000e+01,6.657390007457121284e-01
2.100000000000000000e+01,7.419423205902078156e-01
2.200000000000000000e+01,6.811622206200432794e-01
2.300000000000000000e+01,7.511028533510284433e-01
2.400000000000000000e+01,6.782036101083033230e-01
2.500000000000000000e+01,7.176483669214732686e-01
2.600000000000000000e+01,6.873685734974656070e-01
2.700000000000000000e+01,7.511028533510284433e-01
2.800000000000000000e+01,7.511028533510284433e-01
3.000000000000000000e+01,7.064618644067797160e-01
3.100000000000000000e+01,7.269773195876289007e-01
3.200000000000000000e+01,7.216692041522491108e-01
