bits,delta
3.100000000000000000e+01,-5.308115435379789915e-03
3.000000000000000000e+01,2.051545518084918474e-02
2.800000000000000000e+01,-4.464098894424872732e-02
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,6.373427985356283632e-02
2.500000000000000000e+01,-3.027979342400766161e-02
2.400000000000000000e+01,3.944475681316994553e-02
2.300000000000000000e+01,-7.289924324272512024e-02
2.200000000000000000e+01,6.994063273098516387e-02
2.100000000000000000e+01,-6.078009997016453614e-02
2.000000000000000000e+01,7.620331984449568719e-02
1.900000000000000000e+01,-3.690776542344209599e-02
1.800000000000000000e+01,4.238309575716925348e-02
1.700000000000000000e+01,-1.946380211548759398e-02
1.600000000000000000e+01,3.003607786871875795e-02
1.500000000000000000e+01,-4.690374124968677005e-02
1.400000000000000000e+01,4.966017033843295181e-02
1.300000000000000000e+01,-8.509779893511182358e-02
1.200000000000000000e+01,3.016797577272500863e-02
1.100000000000000000e+01,3.761794858369560401e-02
1.000000000000000000e+01,-8.277856092081992134e-02
9.000000000000000000e+00,-3.604990436785082686e-03
8.000000000000000000e+00,1.832855602023986119e-02
7.000000000000000000e+00,8.628275991746536810e-02
6.000000000000000000e+00,1.901445899718907651e-01
5.000000000000000000e+00,4.321135660564779379e-01
4.000000000000000000e+00,2.376091954022988700e-02
3.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
