bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,4.752183908045977054e-03
6.000000000000000000e+00,7.597908093278464559e-02
7.000000000000000000e+00,9.228843936694265671e-02
8.000000000000000000e+00,9.153772943575799736e-02
9.000000000000000000e+00,8.340337683403376001e-02
1.000000000000000000e+01,7.470254010695187574e-02
1.100000000000000000e+01,6.038607637715443649e-02
1.200000000000000000e+01,5.848873239436620103e-02
1.300000000000000000e+01,5.631021265423995920e-02
1.400000000000000000e+01,4.620964039785768751e-02
1.500000000000000000e+01,4.643967572722937365e-02
1.600000000000000000e+01,4.060571216617211293e-02
1.700000000000000000e+01,3.998396897220427015e-02
1.800000000000000000e+01,3.668131502288805162e-02
1.900000000000000000e+01,3.698140874574495918e-02
2.000000000000000000e+01,3.328695003728560781e-02
2.100000000000000000e+01,3.533058669477179975e-02
2.200000000000000000e+01,3.096191911909287539e-02
2.300000000000000000e+01,3.265664579787080218e-02
2.400000000000000000e+01,2.825848375451263730e-02
2.500000000000000000e+01,2.870593467685893241e-02
2.600000000000000000e+01,2.643725282682559893e-02
2.700000000000000000e+01,2.781862419818623838e-02
2.800000000000000000e+01,2.682510190539387149e-02
3.000000000000000000e+01,2.354872881355932548e-02
3.100000000000000000e+01,2.345088127702028846e-02
3.200000000000000000e+01,2.255216262975778471e-02
