bits,value
2.000000000000000000e+00,3.402099999999999909e+03
3.000000000000000000e+00,1.565400000000000091e+03
4.000000000000000000e+00,1.775599999999999909e+03
5.000000000000000000e+00,2.249500000000000000e+03
6.000000000000000000e+00,2.557699999999999818e+03
7.000000000000000000e+00,2.752900000000000091e+03
8.000000000000000000e+00,2.578900000000000091e+03
9.000000000000000000e+00,2.886099999999999909e+03
1.000000000000000000e+01,5.069500000000000000e+03
1.100000000000000000e+01,4.479000000000000000e+03
1.200000000000000000e+01,4.243699999999999818e+03
1.300000000000000000e+01,4.924699999999999818e+03
1.400000000000000000e+01,4.687000000000000000e+03
1.500000000000000000e+01,4.586000000000000000e+03
1.600000000000000000e+01,4.087199999999999818e+03
1.700000000000000000e+01,4.293500000000000000e+03
1.800000000000000000e+01,3.648199999999999818e+03
1.900000000000000000e+01,4.833699999999999818e+03
2.000000000000000000e+01,4.887899999999999636e+03
2.100000000000000000e+01,4.930100000000000364e+03
2.200000000000000000e+01,2.290800000000000182e+03
2.300000000000000000e+01,3.120800000000000182e+03
2.400000000000000000e+01,3.196500000000000000e+03
2.500000000000000000e+01,3.099099999999999909e+03
2.600000000000000000e+01,3.576599999999999909e+03
2.700000000000000000e+01,3.255000000000000000e+03
2.800000000000000000e+01,3.398500000000000000e+03
3.000000000000000000e+01,3.159199999999999818e+03
3.100000000000000000e+01,3.109300000000000182e+03
3.200000000000000000e+01,2.998599999999999909e+03
