bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,5.519999999999999733e-03
6.000000000000000000e+00,3.049999999999999933e-01
7.000000000000000000e+00,5.030000000000000027e-01
8.000000000000000000e+00,5.959999999999999742e-01
9.000000000000000000e+00,6.280000000000000027e-01
1.000000000000000000e+01,6.290000000000000036e-01
1.100000000000000000e+01,5.120000000000000107e-01
1.200000000000000000e+01,5.590000000000000524e-01
1.300000000000000000e+01,6.039999999999999813e-01
1.400000000000000000e+01,4.879999999999999893e-01
1.500000000000000000e+01,5.480000000000000426e-01
1.600000000000000000e+01,4.869999999999999885e-01
1.700000000000000000e+01,5.270000000000000240e-01
1.800000000000000000e+01,5.000000000000000000e-01
1.900000000000000000e+01,5.699999999999999512e-01
2.000000000000000000e+01,5.130000000000000115e-01
2.100000000000000000e+01,6.149999999999999911e-01
2.200000000000000000e+01,5.220000000000000195e-01
2.300000000000000000e+01,6.320000000000000062e-01
2.400000000000000000e+01,5.170000000000000151e-01
2.500000000000000000e+01,5.889999999999999680e-01
2.600000000000000000e+01,5.370000000000000329e-01
2.700000000000000000e+01,6.320000000000000062e-01
2.800000000000000000e+01,6.320000000000000062e-01
3.000000000000000000e+01,5.659999999999999476e-01
3.100000000000000000e+01,5.909999999999999698e-01
3.200000000000000000e+01,5.849999999999999645e-01
