bits,delta
3.100000000000000000e+01,-6.000000000000005329e-03
3.000000000000000000e+01,2.500000000000002220e-02
2.800000000000000000e+01,-6.600000000000005862e-02
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,9.499999999999997335e-02
2.500000000000000000e+01,-5.199999999999993516e-02
2.400000000000000000e+01,7.199999999999995293e-02
2.300000000000000000e+01,-1.149999999999999911e-01
2.200000000000000000e+01,1.099999999999999867e-01
2.100000000000000000e+01,-9.299999999999997158e-02
2.000000000000000000e+01,1.019999999999999796e-01
1.900000000000000000e+01,-5.699999999999993960e-02
1.800000000000000000e+01,6.999999999999995115e-02
1.700000000000000000e+01,-2.700000000000002398e-02
1.600000000000000000e+01,4.000000000000003553e-02
1.500000000000000000e+01,-6.100000000000005418e-02
1.400000000000000000e+01,6.000000000000005329e-02
1.300000000000000000e+01,-1.159999999999999920e-01
1.200000000000000000e+01,4.499999999999992895e-02
1.100000000000000000e+01,4.700000000000004174e-02
1.000000000000000000e+01,-1.169999999999999929e-01
9.000000000000000000e+00,1.000000000000000888e-03
8.000000000000000000e+00,3.200000000000002842e-02
7.000000000000000000e+00,9.299999999999997158e-02
6.000000000000000000e+00,1.980000000000000093e-01
5.000000000000000000e+00,2.994799999999999685e-01
4.000000000000000000e+00,5.519999999999999733e-03
3.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
