bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.839999999999999789e-03
6.000000000000000000e+00,4.060000000000000275e-01
7.000000000000000000e+00,6.330000000000000071e-01
8.000000000000000000e+00,7.560000000000000053e-01
9.000000000000000000e+00,7.970000000000000417e-01
1.000000000000000000e+01,7.920000000000000373e-01
1.100000000000000000e+01,6.540000000000000258e-01
1.200000000000000000e+01,7.149999999999999689e-01
1.300000000000000000e+01,7.620000000000000107e-01
1.400000000000000000e+01,6.159999999999999920e-01
1.500000000000000000e+01,6.929999999999999494e-01
1.600000000000000000e+01,6.199999999999999956e-01
1.700000000000000000e+01,6.740000000000000435e-01
1.800000000000000000e+01,6.229999999999999982e-01
1.900000000000000000e+01,7.189999999999999725e-01
2.000000000000000000e+01,6.460000000000000187e-01
2.100000000000000000e+01,7.780000000000000249e-01
2.200000000000000000e+01,6.640000000000000346e-01
2.300000000000000000e+01,7.990000000000000435e-01
2.400000000000000000e+01,6.510000000000000231e-01
2.500000000000000000e+01,7.489999999999999991e-01
2.600000000000000000e+01,6.780000000000000471e-01
2.700000000000000000e+01,7.990000000000000435e-01
2.800000000000000000e+01,7.990000000000000435e-01
3.000000000000000000e+01,7.169999999999999707e-01
3.100000000000000000e+01,7.510000000000000009e-01
3.200000000000000000e+01,7.409999999999999920e-01
