bits,delta
3.100000000000000000e+01,-1.000000000000000888e-02
3.000000000000000000e+01,3.400000000000003020e-02
2.800000000000000000e+01,-8.200000000000007283e-02
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,1.209999999999999964e-01
2.500000000000000000e+01,-7.099999999999995204e-02
2.400000000000000000e+01,9.799999999999997602e-02
2.300000000000000000e+01,-1.480000000000000204e-01
2.200000000000000000e+01,1.350000000000000089e-01
2.100000000000000000e+01,-1.139999999999999902e-01
2.000000000000000000e+01,1.320000000000000062e-01
1.900000000000000000e+01,-7.299999999999995381e-02
1.800000000000000000e+01,9.599999999999997424e-02
1.700000000000000000e+01,-5.100000000000004530e-02
1.600000000000000000e+01,5.400000000000004796e-02
1.500000000000000000e+01,-7.299999999999995381e-02
1.400000000000000000e+01,7.699999999999995737e-02
1.300000000000000000e+01,-1.460000000000000187e-01
1.200000000000000000e+01,4.700000000000004174e-02
1.100000000000000000e+01,6.099999999999994316e-02
1.000000000000000000e+01,-1.380000000000000115e-01
9.000000000000000000e+00,-5.000000000000004441e-03
8.000000000000000000e+00,4.100000000000003642e-02
7.000000000000000000e+00,1.229999999999999982e-01
6.000000000000000000e+00,2.269999999999999796e-01
5.000000000000000000e+00,3.961600000000000121e-01
4.000000000000000000e+00,9.839999999999999789e-03
3.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
