bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.352647058823529258e-02
6.000000000000000000e+00,1.832644295302013338e-01
7.000000000000000000e+00,6.176394230769230997e-01
8.000000000000000000e+00,6.753221818181818215e-01
9.000000000000000000e+00,7.454638069705092907e-01
1.000000000000000000e+01,7.291444067796609696e-01
1.100000000000000000e+01,6.044699537750384266e-01
1.200000000000000000e+01,6.402904689863843091e-01
1.300000000000000000e+01,6.406288737717309445e-01
1.400000000000000000e+01,7.189293067947839511e-01
1.500000000000000000e+01,7.455146666666666588e-01
1.600000000000000000e+01,7.472127659574467895e-01
1.700000000000000000e+01,6.584319036869826780e-01
1.800000000000000000e+01,6.888611898016996360e-01
1.900000000000000000e+01,6.861140794223826722e-01
2.000000000000000000e+01,6.828538011695907128e-01
2.100000000000000000e+01,6.823985714285715209e-01
2.200000000000000000e+01,7.472127659574467895e-01
2.300000000000000000e+01,7.472127659574467895e-01
2.400000000000000000e+01,6.577736686390532883e-01
2.500000000000000000e+01,7.150110650069155804e-01
2.600000000000000000e+01,7.472127659574467895e-01
2.700000000000000000e+01,7.472127659574467895e-01
2.800000000000000000e+01,7.472127659574467895e-01
2.900000000000000000e+01,7.472127659574467895e-01
3.000000000000000000e+01,7.335199459093982854e-01
3.100000000000000000e+01,7.472127659574467895e-01
