bits,delta
3.000000000000000000e+01,1.369282004804850406e-02
2.900000000000000000e+01,-1.369282004804850406e-02
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,3.220170095053120907e-02
2.400000000000000000e+01,5.723739636786229212e-02
2.300000000000000000e+01,-8.943909731839350119e-02
2.200000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,6.481419452887526855e-02
2.000000000000000000e+01,-4.552297410191918914e-04
1.900000000000000000e+01,-3.260278252791959375e-03
1.800000000000000000e+01,-2.747110379316963780e-03
1.700000000000000000e+01,3.042928611471695799e-02
1.600000000000000000e+01,-8.878086227046411150e-02
1.500000000000000000e+01,1.698099290780130666e-03
1.400000000000000000e+01,2.658535987188270777e-02
1.300000000000000000e+01,7.830043302305300656e-02
1.200000000000000000e+01,3.384047853466354283e-04
1.100000000000000000e+01,3.582051521134588246e-02
1.000000000000000000e+01,-1.246744530046225430e-01
9.000000000000000000e+00,-1.631940019084832105e-02
8.000000000000000000e+00,7.014162515232746919e-02
7.000000000000000000e+00,5.768275874125872171e-02
6.000000000000000000e+00,4.343749935467217660e-01
5.000000000000000000e+00,1.697379589419660273e-01
4.000000000000000000e+00,1.352647058823529258e-02
3.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
