bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.705294117647058343e-03
6.000000000000000000e+00,3.054407158836688896e-02
7.000000000000000000e+00,8.823420329670329798e-02
8.000000000000000000e+00,8.441527272727272768e-02
9.000000000000000000e+00,8.282931188561214186e-02
1.000000000000000000e+01,7.291444067796609696e-02
1.100000000000000000e+01,5.495181397954895103e-02
1.200000000000000000e+01,5.335753908219869474e-02
1.300000000000000000e+01,4.927914413628699253e-02
1.400000000000000000e+01,5.135209334248456992e-02
1.500000000000000000e+01,4.970097777777778003e-02
1.600000000000000000e+01,4.670079787234042434e-02
1.700000000000000000e+01,3.873128845217545246e-02
1.800000000000000000e+01,3.827006610009442422e-02
1.900000000000000000e+01,3.611126733802014210e-02
2.000000000000000000e+01,3.414269005847953703e-02
2.100000000000000000e+01,3.249517006802721264e-02
2.200000000000000000e+01,3.396421663442939637e-02
2.300000000000000000e+01,3.248751156336725232e-02
2.400000000000000000e+01,2.740723619329388586e-02
2.500000000000000000e+01,2.860044260027662377e-02
2.600000000000000000e+01,2.873895253682487785e-02
2.700000000000000000e+01,2.767454688731284251e-02
2.800000000000000000e+01,2.668617021276595627e-02
2.900000000000000000e+01,2.576595744680850938e-02
3.000000000000000000e+01,2.445066486364660951e-02
3.100000000000000000e+01,2.410363761153054216e-02
