bits,value
2.000000000000000000e+00,1.305599999999999909e+03
3.000000000000000000e+00,1.672400000000000091e+03
4.000000000000000000e+00,1.663299999999999955e+03
5.000000000000000000e+00,1.662299999999999955e+03
6.000000000000000000e+00,1.579099999999999909e+03
7.000000000000000000e+00,1.517400000000000091e+03
8.000000000000000000e+00,1.607400000000000091e+03
9.000000000000000000e+00,1.293700000000000045e+03
1.000000000000000000e+01,2.610300000000000182e+03
1.100000000000000000e+01,1.749900000000000091e+03
1.200000000000000000e+01,2.053599999999999909e+03
1.300000000000000000e+01,1.972000000000000000e+03
1.400000000000000000e+01,1.635000000000000000e+03
1.500000000000000000e+01,1.851299999999999955e+03
1.600000000000000000e+01,9.252000000000000455e+02
1.700000000000000000e+01,1.610099999999999909e+03
1.800000000000000000e+01,1.779200000000000045e+03
1.900000000000000000e+01,2.304699999999999818e+03
2.000000000000000000e+01,2.443099999999999909e+03
2.100000000000000000e+01,2.718699999999999818e+03
2.200000000000000000e+01,2.757500000000000000e+03
2.300000000000000000e+01,2.236800000000000182e+03
2.400000000000000000e+01,1.822599999999999909e+03
2.500000000000000000e+01,1.990799999999999955e+03
2.600000000000000000e+01,1.838400000000000091e+03
2.700000000000000000e+01,1.801900000000000091e+03
2.800000000000000000e+01,6.046000000000000227e+02
2.900000000000000000e+01,6.248999999999999773e+02
3.000000000000000000e+01,1.669400000000000091e+03
3.100000000000000000e+01,1.606200000000000045e+03
