bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.039999999999999909e-03
6.000000000000000000e+00,1.130000000000000032e-01
7.000000000000000000e+00,4.699999999999999734e-01
8.000000000000000000e+00,5.110000000000000098e-01
9.000000000000000000e+00,6.229999999999999982e-01
1.000000000000000000e+01,5.889999999999999680e-01
1.100000000000000000e+01,4.169999999999999818e-01
1.200000000000000000e+01,4.699999999999999734e-01
1.300000000000000000e+01,4.709999999999999742e-01
1.400000000000000000e+01,5.789999999999999591e-01
1.500000000000000000e+01,6.209999999999999964e-01
1.600000000000000000e+01,6.219999999999999973e-01
1.700000000000000000e+01,5.150000000000000133e-01
1.800000000000000000e+01,5.250000000000000222e-01
1.900000000000000000e+01,5.210000000000000187e-01
2.000000000000000000e+01,5.460000000000000409e-01
2.100000000000000000e+01,5.310000000000000275e-01
2.200000000000000000e+01,6.219999999999999973e-01
2.300000000000000000e+01,6.219999999999999973e-01
2.400000000000000000e+01,4.929999999999999938e-01
2.500000000000000000e+01,5.799999999999999600e-01
2.600000000000000000e+01,6.219999999999999973e-01
2.700000000000000000e+01,6.219999999999999973e-01
2.800000000000000000e+01,6.219999999999999973e-01
2.900000000000000000e+01,6.219999999999999973e-01
3.000000000000000000e+01,6.029999999999999805e-01
3.100000000000000000e+01,6.219999999999999973e-01
