bits,delta
3.000000000000000000e+01,1.900000000000001688e-02
2.900000000000000000e+01,-1.900000000000001688e-02
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,4.200000000000003730e-02
2.400000000000000000e+01,8.699999999999996625e-02
2.300000000000000000e+01,-1.290000000000000036e-01
2.200000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,9.099999999999996980e-02
2.000000000000000000e+01,-1.500000000000001332e-02
1.900000000000000000e+01,2.500000000000002220e-02
1.800000000000000000e+01,-4.000000000000003553e-03
1.700000000000000000e+01,1.000000000000000888e-02
1.600000000000000000e+01,-1.069999999999999840e-01
1.500000000000000000e+01,1.000000000000000888e-03
1.400000000000000000e+01,4.200000000000003730e-02
1.300000000000000000e+01,1.079999999999999849e-01
1.200000000000000000e+01,1.000000000000000888e-03
1.100000000000000000e+01,5.299999999999999156e-02
1.000000000000000000e+01,-1.719999999999999862e-01
9.000000000000000000e+00,-3.400000000000003020e-02
8.000000000000000000e+00,1.119999999999999885e-01
7.000000000000000000e+00,4.100000000000003642e-02
6.000000000000000000e+00,3.569999999999999840e-01
5.000000000000000000e+00,1.119600000000000040e-01
4.000000000000000000e+00,1.039999999999999909e-03
3.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
