bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,5.539999999999999786e-03
6.000000000000000000e+00,1.700000000000000122e-01
7.000000000000000000e+00,6.169999999999999929e-01
8.000000000000000000e+00,6.490000000000000213e-01
9.000000000000000000e+00,7.940000000000000391e-01
1.000000000000000000e+01,7.560000000000000053e-01
1.100000000000000000e+01,5.370000000000000329e-01
1.200000000000000000e+01,5.949999999999999734e-01
1.300000000000000000e+01,5.949999999999999734e-01
1.400000000000000000e+01,7.469999999999999973e-01
1.500000000000000000e+01,7.960000000000000409e-01
1.600000000000000000e+01,7.960000000000000409e-01
1.700000000000000000e+01,6.510000000000000231e-01
1.800000000000000000e+01,6.750000000000000444e-01
1.900000000000000000e+01,6.700000000000000400e-01
2.000000000000000000e+01,7.029999999999999583e-01
2.100000000000000000e+01,6.780000000000000471e-01
2.200000000000000000e+01,7.960000000000000409e-01
2.300000000000000000e+01,7.960000000000000409e-01
2.400000000000000000e+01,6.250000000000000000e-01
2.500000000000000000e+01,7.449999999999999956e-01
2.600000000000000000e+01,7.960000000000000409e-01
2.700000000000000000e+01,7.960000000000000409e-01
2.800000000000000000e+01,7.960000000000000409e-01
2.900000000000000000e+01,7.960000000000000409e-01
3.000000000000000000e+01,7.760000000000000231e-01
3.100000000000000000e+01,7.960000000000000409e-01
