bits,delta
3.000000000000000000e+01,2.000000000000001776e-02
2.900000000000000000e+01,-2.000000000000001776e-02
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,5.100000000000004530e-02
2.400000000000000000e+01,1.199999999999999956e-01
2.300000000000000000e+01,-1.710000000000000409e-01
2.200000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,1.179999999999999938e-01
2.000000000000000000e+01,-2.499999999999991118e-02
1.900000000000000000e+01,3.299999999999991829e-02
1.800000000000000000e+01,-5.000000000000004441e-03
1.700000000000000000e+01,2.400000000000002132e-02
1.600000000000000000e+01,-1.450000000000000178e-01
1.500000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,4.900000000000004352e-02
1.300000000000000000e+01,1.520000000000000240e-01
1.200000000000000000e+01,0.000000000000000000e+00
1.100000000000000000e+01,5.799999999999994049e-02
1.000000000000000000e+01,-2.189999999999999725e-01
9.000000000000000000e+00,-3.800000000000003375e-02
8.000000000000000000e+00,1.450000000000000178e-01
7.000000000000000000e+00,3.200000000000002842e-02
6.000000000000000000e+00,4.469999999999999529e-01
5.000000000000000000e+00,1.644600000000000228e-01
4.000000000000000000e+00,5.539999999999999786e-03
3.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00
