bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.108000000000000044e-03
6.000000000000000000e+00,2.833333333333333537e-02
7.000000000000000000e+00,8.814285714285714779e-02
8.000000000000000000e+00,8.112500000000000266e-02
9.000000000000000000e+00,8.822222222222222965e-02
1.000000000000000000e+01,7.560000000000000053e-02
1.100000000000000000e+01,4.881818181818182306e-02
1.200000000000000000e+01,4.958333333333333343e-02
1.300000000000000000e+01,4.576923076923077038e-02
1.400000000000000000e+01,5.335714285714285993e-02
1.500000000000000000e+01,5.306666666666667170e-02
1.600000000000000000e+01,4.975000000000000255e-02
1.700000000000000000e+01,3.829411764705882570e-02
1.800000000000000000e+01,3.750000000000000555e-02
1.900000000000000000e+01,3.526315789473684348e-02
2.000000000000000000e+01,3.515000000000000069e-02
2.100000000000000000e+01,3.228571428571428564e-02
2.200000000000000000e+01,3.618181818181818304e-02
2.300000000000000000e+01,3.460869565217391391e-02
2.400000000000000000e+01,2.604166666666666782e-02
2.500000000000000000e+01,2.980000000000000010e-02
2.600000000000000000e+01,3.061538461538461722e-02
2.700000000000000000e+01,2.948148148148148351e-02
2.800000000000000000e+01,2.842857142857143152e-02
2.900000000000000000e+01,2.744827586206896597e-02
3.000000000000000000e+01,2.586666666666666628e-02
3.100000000000000000e+01,2.567741935483871044e-02
