bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.164625346901017343e-03
6.000000000000000000e+00,2.407809278350515059e-01
7.000000000000000000e+00,5.663768624014022812e-01
8.000000000000000000e+00,6.226041009463721965e-01
9.000000000000000000e+00,6.278269841269841223e-01
1.000000000000000000e+01,6.245019731649567030e-01
1.100000000000000000e+01,6.148797417271993915e-01
1.200000000000000000e+01,6.050955518945634326e-01
1.300000000000000000e+01,5.960467055879900000e-01
1.400000000000000000e+01,6.179079159935380039e-01
1.500000000000000000e+01,5.979052369077307860e-01
1.600000000000000000e+01,6.095535568274734750e-01
1.700000000000000000e+01,5.933026755852842671e-01
1.800000000000000000e+01,6.233253588516746158e-01
1.900000000000000000e+01,6.238130990415334809e-01
2.000000000000000000e+01,6.238130990415334809e-01
2.100000000000000000e+01,6.175518072289155613e-01
2.200000000000000000e+01,6.238130990415334809e-01
2.300000000000000000e+01,5.979785831960462428e-01
2.400000000000000000e+01,6.238130990415334809e-01
2.500000000000000000e+01,6.043066884176183651e-01
2.600000000000000000e+01,6.203017656500803279e-01
2.700000000000000000e+01,6.238130990415334809e-01
2.800000000000000000e+01,6.238130990415334809e-01
2.900000000000000000e+01,6.238130990415334809e-01
3.000000000000000000e+01,6.238130990415334809e-01
3.100000000000000000e+01,6.238130990415334809e-01
3.200000000000000000e+01,6.238130990415334809e-01
