bits,delta
3.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,3.511333391453153041e-03
2.500000000000000000e+01,1.599507723246196278e-02
2.400000000000000000e+01,-1.950641062391511582e-02
2.300000000000000000e+01,2.583451584548723812e-02
2.200000000000000000e+01,-2.583451584548723812e-02
2.100000000000000000e+01,6.261291812617919561e-03
2.000000000000000000e+01,-6.261291812617919561e-03
1.900000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,4.877401898588651363e-04
1.700000000000000000e+01,3.002268326639034868e-02
1.600000000000000000e+01,-1.625088124218920793e-02
1.500000000000000000e+01,1.164831991974268899e-02
1.400000000000000000e+01,-2.000267908580721787e-02
1.300000000000000000e+01,2.186121040554800388e-02
1.200000000000000000e+01,-9.048846306573432585e-03
1.100000000000000000e+01,-9.784189832635958872e-03
1.000000000000000000e+01,-9.622231437757311490e-03
9.000000000000000000e+00,-3.325010962027419303e-03
8.000000000000000000e+00,5.222883180611925802e-03
7.000000000000000000e+00,5.622723854496991525e-02
6.000000000000000000e+00,3.255959345663507754e-01
5.000000000000000000e+00,2.386163024881504946e-01
3.000000000000000000e+00,2.164625346901017343e-03
2.000000000000000000e+00,0.000000000000000000e+00
