bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,4.329250693802034794e-04
6.000000000000000000e+00,4.013015463917524867e-02
7.000000000000000000e+00,8.091098034305746478e-02
8.000000000000000000e+00,7.782551261829652456e-02
9.000000000000000000e+00,6.975855379188712624e-02
1.000000000000000000e+01,6.245019731649566891e-02
1.100000000000000000e+01,5.589815833883630958e-02
1.200000000000000000e+01,5.042462932454695040e-02
1.300000000000000000e+01,4.584974658369153633e-02
1.400000000000000000e+01,4.413627971382414611e-02
1.500000000000000000e+01,3.986034912718205286e-02
1.600000000000000000e+01,3.809709730171709219e-02
1.700000000000000000e+01,3.490015738736966522e-02
1.800000000000000000e+01,3.462918660287081507e-02
1.900000000000000000e+01,3.283226837060702202e-02
2.000000000000000000e+01,3.119065495207667266e-02
2.100000000000000000e+01,2.940722891566264693e-02
2.200000000000000000e+01,2.835514086552425039e-02
2.300000000000000000e+01,2.599906883461070711e-02
2.400000000000000000e+01,2.599221246006389388e-02
2.500000000000000000e+01,2.417226753670473349e-02
2.600000000000000000e+01,2.385776021731078264e-02
2.700000000000000000e+01,2.310418885339013059e-02
2.800000000000000000e+01,2.227903925148333811e-02
2.900000000000000000e+01,2.151079651867356807e-02
3.000000000000000000e+01,2.079376996805111510e-02
3.100000000000000000e+01,2.012300319488817546e-02
3.200000000000000000e+01,1.949415934504792128e-02
