bits,value
2.000000000000000000e+00,7.650000000000000000e+01
3.000000000000000000e+00,7.879999999999999716e+01
5.000000000000000000e+00,7.450000000000000000e+01
6.000000000000000000e+00,8.490000000000000568e+01
7.000000000000000000e+00,7.209999999999999432e+01
8.000000000000000000e+00,7.129999999999999716e+01
9.000000000000000000e+00,7.840000000000000568e+01
1.000000000000000000e+01,9.609999999999999432e+01
1.100000000000000000e+01,1.027000000000000028e+02
1.200000000000000000e+01,1.017999999999999972e+02
1.300000000000000000e+01,1.035999999999999943e+02
1.400000000000000000e+01,1.055999999999999943e+02
1.500000000000000000e+01,1.040999999999999943e+02
1.600000000000000000e+01,9.570000000000000284e+01
1.700000000000000000e+01,1.102999999999999972e+02
1.800000000000000000e+01,1.062000000000000028e+02
1.900000000000000000e+01,4.950000000000000000e+01
2.000000000000000000e+01,6.850000000000000000e+01
2.100000000000000000e+01,6.189999999999999858e+01
2.200000000000000000e+01,1.020000000000000000e+02
2.300000000000000000e+01,8.159999999999999432e+01
2.400000000000000000e+01,9.590000000000000568e+01
2.500000000000000000e+01,8.909999999999999432e+01
2.600000000000000000e+01,8.320000000000000284e+01
2.700000000000000000e+01,8.229999999999999716e+01
2.800000000000000000e+01,1.217999999999999972e+02
2.900000000000000000e+01,8.909999999999999432e+01
3.000000000000000000e+01,5.420000000000000284e+01
3.100000000000000000e+01,6.479999999999999716e+01
3.200000000000000000e+01,7.690000000000000568e+01
