bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,1.520000000000000084e-04
6.000000000000000000e+00,1.270000000000000018e-01
7.000000000000000000e+00,4.380000000000000004e-01
8.000000000000000000e+00,4.749999999999999778e-01
9.000000000000000000e+00,5.000000000000000000e-01
1.000000000000000000e+01,4.689999999999999725e-01
1.100000000000000000e+01,4.789999999999999813e-01
1.200000000000000000e+01,4.729999999999999760e-01
1.300000000000000000e+01,4.480000000000000093e-01
1.400000000000000000e+01,4.839999999999999858e-01
1.500000000000000000e+01,4.480000000000000093e-01
1.600000000000000000e+01,4.699999999999999734e-01
1.700000000000000000e+01,4.430000000000000049e-01
1.800000000000000000e+01,4.959999999999999964e-01
1.900000000000000000e+01,5.020000000000000018e-01
2.000000000000000000e+01,5.020000000000000018e-01
2.100000000000000000e+01,4.819999999999999840e-01
2.200000000000000000e+01,5.020000000000000018e-01
2.300000000000000000e+01,4.540000000000000147e-01
2.400000000000000000e+01,5.020000000000000018e-01
2.500000000000000000e+01,4.680000000000000271e-01
2.600000000000000000e+01,4.959999999999999964e-01
2.700000000000000000e+01,5.020000000000000018e-01
2.800000000000000000e+01,5.020000000000000018e-01
2.900000000000000000e+01,5.020000000000000018e-01
3.000000000000000000e+01,5.020000000000000018e-01
3.100000000000000000e+01,5.020000000000000018e-01
3.200000000000000000e+01,5.020000000000000018e-01
