bits,delta
3.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,6.000000000000005329e-03
2.500000000000000000e+01,2.799999999999996936e-02
2.400000000000000000e+01,-3.399999999999997469e-02
2.300000000000000000e+01,4.799999999999998712e-02
2.200000000000000000e+01,-4.799999999999998712e-02
2.100000000000000000e+01,2.000000000000001776e-02
2.000000000000000000e+01,-2.000000000000001776e-02
1.900000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,6.000000000000005329e-03
1.700000000000000000e+01,5.299999999999999156e-02
1.600000000000000000e+01,-2.699999999999996847e-02
1.500000000000000000e+01,2.199999999999996403e-02
1.400000000000000000e+01,-3.599999999999997646e-02
1.300000000000000000e+01,3.599999999999997646e-02
1.200000000000000000e+01,-2.499999999999996669e-02
1.100000000000000000e+01,-6.000000000000005329e-03
1.000000000000000000e+01,1.000000000000000888e-02
9.000000000000000000e+00,-3.100000000000002753e-02
8.000000000000000000e+00,2.500000000000002220e-02
7.000000000000000000e+00,3.699999999999997735e-02
6.000000000000000000e+00,3.109999999999999987e-01
5.000000000000000000e+00,1.268479999999999885e-01
3.000000000000000000e+00,1.520000000000000084e-04
2.000000000000000000e+00,0.000000000000000000e+00
