bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,4.539999999999999765e-04
6.000000000000000000e+00,1.859999999999999987e-01
7.000000000000000000e+00,5.929999999999999716e-01
8.000000000000000000e+00,6.360000000000000098e-01
9.000000000000000000e+00,6.650000000000000355e-01
1.000000000000000000e+01,6.280000000000000027e-01
1.100000000000000000e+01,6.370000000000000107e-01
1.200000000000000000e+01,6.260000000000000009e-01
1.300000000000000000e+01,6.009999999999999787e-01
1.400000000000000000e+01,6.450000000000000178e-01
1.500000000000000000e+01,6.009999999999999787e-01
1.600000000000000000e+01,6.239999999999999991e-01
1.700000000000000000e+01,5.919999999999999707e-01
1.800000000000000000e+01,6.630000000000000338e-01
1.900000000000000000e+01,6.700000000000000400e-01
2.000000000000000000e+01,6.700000000000000400e-01
2.100000000000000000e+01,6.420000000000000151e-01
2.200000000000000000e+01,6.700000000000000400e-01
2.300000000000000000e+01,6.029999999999999805e-01
2.400000000000000000e+01,6.700000000000000400e-01
2.500000000000000000e+01,6.219999999999999973e-01
2.600000000000000000e+01,6.610000000000000320e-01
2.700000000000000000e+01,6.700000000000000400e-01
2.800000000000000000e+01,6.700000000000000400e-01
2.900000000000000000e+01,6.700000000000000400e-01
3.000000000000000000e+01,6.700000000000000400e-01
3.100000000000000000e+01,6.700000000000000400e-01
3.200000000000000000e+01,6.700000000000000400e-01
