bits,delta
3.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,9.000000000000007994e-03
2.500000000000000000e+01,3.900000000000003464e-02
2.400000000000000000e+01,-4.800000000000004263e-02
2.300000000000000000e+01,6.700000000000005951e-02
2.200000000000000000e+01,-6.700000000000005951e-02
2.100000000000000000e+01,2.800000000000002487e-02
2.000000000000000000e+01,-2.800000000000002487e-02
1.900000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,7.000000000000006217e-03
1.700000000000000000e+01,7.100000000000006306e-02
1.600000000000000000e+01,-3.200000000000002842e-02
1.500000000000000000e+01,2.300000000000002043e-02
1.400000000000000000e+01,-4.400000000000003908e-02
1.300000000000000000e+01,4.400000000000003908e-02
1.200000000000000000e+01,-2.500000000000002220e-02
1.100000000000000000e+01,-1.100000000000000977e-02
1.000000000000000000e+01,9.000000000000007994e-03
9.000000000000000000e+00,-3.700000000000003286e-02
8.000000000000000000e+00,2.900000000000002576e-02
7.000000000000000000e+00,4.300000000000003819e-02
6.000000000000000000e+00,4.069999999999999729e-01
5.000000000000000000e+00,1.855459999999999887e-01
3.000000000000000000e+00,4.539999999999999765e-04
2.000000000000000000e+00,0.000000000000000000e+00
