bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.079999999999999801e-05
6.000000000000000000e+00,3.099999999999999978e-02
7.000000000000000000e+00,8.471428571428571419e-02
8.000000000000000000e+00,7.950000000000000122e-02
9.000000000000000000e+00,7.388888888888889284e-02
1.000000000000000000e+01,6.279999999999999472e-02
1.100000000000000000e+01,5.790909090909091006e-02
1.200000000000000000e+01,5.216666666666666674e-02
1.300000000000000000e+01,4.623076923076922806e-02
1.400000000000000000e+01,4.607142857142857567e-02
1.500000000000000000e+01,4.006666666666666710e-02
1.600000000000000000e+01,3.899999999999999994e-02
1.700000000000000000e+01,3.482352941176470457e-02
1.800000000000000000e+01,3.683333333333333598e-02
1.900000000000000000e+01,3.526315789473684348e-02
2.000000000000000000e+01,3.350000000000000200e-02
2.100000000000000000e+01,3.057142857142857231e-02
2.200000000000000000e+01,3.045454545454545636e-02
2.300000000000000000e+01,2.621739130434782433e-02
2.400000000000000000e+01,2.791666666666666949e-02
2.500000000000000000e+01,2.487999999999999934e-02
2.600000000000000000e+01,2.542307692307692324e-02
2.700000000000000000e+01,2.481481481481481732e-02
2.800000000000000000e+01,2.392857142857143099e-02
2.900000000000000000e+01,2.310344827586207142e-02
3.000000000000000000e+01,2.233333333333333351e-02
3.100000000000000000e+01,2.161290322580645268e-02
3.200000000000000000e+01,2.093750000000000125e-02
