bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,3.655858747993579513e-03
6.000000000000000000e+00,2.407069892473118200e-01
7.000000000000000000e+00,5.838641765704585262e-01
8.000000000000000000e+00,6.992882562277580316e-01
9.000000000000000000e+00,7.105984583041345948e-01
1.000000000000000000e+01,7.078486334968464577e-01
1.100000000000000000e+01,7.079633027522935773e-01
1.200000000000000000e+01,7.098494018296973573e-01
1.300000000000000000e+01,7.074350282485876162e-01
1.400000000000000000e+01,7.075918079096045199e-01
1.500000000000000000e+01,7.066379066478075677e-01
1.600000000000000000e+01,7.066379066478075677e-01
1.700000000000000000e+01,7.071151943462896661e-01
1.800000000000000000e+01,7.071151943462896661e-01
1.900000000000000000e+01,7.071151943462896661e-01
2.000000000000000000e+01,7.071151943462896661e-01
2.100000000000000000e+01,7.071151943462896661e-01
2.200000000000000000e+01,7.071151943462896661e-01
2.300000000000000000e+01,7.071151943462896661e-01
2.400000000000000000e+01,7.071151943462896661e-01
2.500000000000000000e+01,7.071151943462896661e-01
2.600000000000000000e+01,7.071151943462896661e-01
2.700000000000000000e+01,7.071151943462896661e-01
2.800000000000000000e+01,7.071151943462896661e-01
2.900000000000000000e+01,7.071151943462896661e-01
3.000000000000000000e+01,7.042863157894736492e-01
3.100000000000000000e+01,7.071151943462896661e-01
3.200000000000000000e+01,7.071151943462896661e-01
