bits,delta
3.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,2.828878556816016854e-03
2.900000000000000000e+01,-2.828878556816016854e-03
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,4.772876984820983992e-04
1.500000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,-9.539012617969522267e-04
1.300000000000000000e+01,1.567796610169036597e-04
1.200000000000000000e+01,-2.414373581109741096e-03
1.100000000000000000e+01,1.886099077403780022e-03
1.000000000000000000e+01,1.146692554471195891e-04
9.000000000000000000e+00,-2.749824807288137052e-03
8.000000000000000000e+00,1.131020207637656316e-02
7.000000000000000000e+00,1.154240796572995054e-01
6.000000000000000000e+00,3.431571873231467062e-01
5.000000000000000000e+00,2.370511304993182522e-01
3.000000000000000000e+00,3.655858747993579513e-03
2.000000000000000000e+00,0.000000000000000000e+00
