bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,7.311717495987158592e-04
6.000000000000000000e+00,4.011783154121863898e-02
7.000000000000000000e+00,8.340916808149408113e-02
8.000000000000000000e+00,8.741103202846975395e-02
9.000000000000000000e+00,7.895538425601494881e-02
1.000000000000000000e+01,7.078486334968464577e-02
1.100000000000000000e+01,6.436030025020850198e-02
1.200000000000000000e+01,5.915411681914144876e-02
1.300000000000000000e+01,5.441807909604520072e-02
1.400000000000000000e+01,5.054227199354317801e-02
1.500000000000000000e+01,4.710919377652050127e-02
1.600000000000000000e+01,4.416486916548797298e-02
1.700000000000000000e+01,4.159501143213468338e-02
1.800000000000000000e+01,3.928417746368276231e-02
1.900000000000000000e+01,3.721658917612050838e-02
2.000000000000000000e+01,3.535575971731448608e-02
2.100000000000000000e+01,3.367215211172808198e-02
2.200000000000000000e+01,3.214159974301316475e-02
2.300000000000000000e+01,3.074413888462129013e-02
2.400000000000000000e+01,2.946313309776206826e-02
2.500000000000000000e+01,2.828460777385158678e-02
2.600000000000000000e+01,2.719673824408806381e-02
2.700000000000000000e+01,2.618945164245517140e-02
2.800000000000000000e+01,2.525411408379605802e-02
2.900000000000000000e+01,2.438328256366516233e-02
3.000000000000000000e+01,2.347621052631578692e-02
3.100000000000000000e+01,2.281016755955773273e-02
3.200000000000000000e+01,2.209734982332155206e-02
