bits,value
2.000000000000000000e+00,2.168000000000000114e+02
3.000000000000000000e+00,1.899000000000000057e+02
5.000000000000000000e+00,2.301999999999999886e+02
6.000000000000000000e+00,2.765000000000000000e+02
7.000000000000000000e+00,2.836000000000000227e+02
8.000000000000000000e+00,2.390000000000000000e+02
9.000000000000000000e+00,2.683999999999999773e+02
1.000000000000000000e+01,4.411000000000000227e+02
1.100000000000000000e+01,1.379000000000000057e+02
1.200000000000000000e+01,1.711999999999999886e+02
1.300000000000000000e+01,2.870000000000000000e+02
1.400000000000000000e+01,2.158000000000000114e+02
1.500000000000000000e+01,2.631000000000000227e+02
1.600000000000000000e+01,3.091000000000000227e+02
1.700000000000000000e+01,2.935000000000000000e+02
1.800000000000000000e+01,2.261999999999999886e+02
1.900000000000000000e+01,2.783999999999999773e+02
2.000000000000000000e+01,2.345999999999999943e+02
2.100000000000000000e+01,1.910000000000000000e+02
2.200000000000000000e+01,1.785000000000000000e+02
2.300000000000000000e+01,1.630000000000000000e+02
2.400000000000000000e+01,1.610000000000000000e+02
2.500000000000000000e+01,1.890999999999999943e+02
2.600000000000000000e+01,2.283000000000000114e+02
2.700000000000000000e+01,2.294000000000000057e+02
2.800000000000000000e+01,2.240999999999999943e+02
2.900000000000000000e+01,2.505999999999999943e+02
3.000000000000000000e+01,2.141999999999999886e+02
3.100000000000000000e+01,1.935000000000000000e+02
3.200000000000000000e+01,2.431999999999999886e+02
