bits,delta
3.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,1.399999999999990141e-02
2.900000000000000000e+01,-1.399999999999990141e-02
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000888e-03
1.200000000000000000e+01,-2.000000000000001776e-03
1.100000000000000000e+01,-2.000000000000001776e-03
1.000000000000000000e+01,8.000000000000007105e-03
9.000000000000000000e+00,-7.000000000000006217e-03
8.000000000000000000e+00,1.399999999999990141e-02
7.000000000000000000e+00,9.500000000000002887e-02
6.000000000000000000e+00,3.280000000000000138e-01
5.000000000000000000e+00,1.367300000000000182e-01
3.000000000000000000e+00,2.269999999999999882e-03
2.000000000000000000e+00,0.000000000000000000e+00
