bits,delta
3.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,1.700000000000001510e-02
2.900000000000000000e+01,-1.700000000000001510e-02
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,-1.000000000000000888e-03
1.400000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,1.000000000000000888e-03
1.200000000000000000e+01,-2.000000000000001776e-03
1.100000000000000000e+01,1.000000000000000888e-03
1.000000000000000000e+01,3.000000000000002665e-03
9.000000000000000000e+00,-6.000000000000005329e-03
8.000000000000000000e+00,2.200000000000001954e-02
7.000000000000000000e+00,1.109999999999999876e-01
6.000000000000000000e+00,4.160000000000000364e-01
5.000000000000000000e+00,1.994799999999999907e-01
3.000000000000000000e+00,4.519999999999999712e-03
2.000000000000000000e+00,0.000000000000000000e+00
