bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.039999999999999642e-04
6.000000000000000000e+00,3.399999999999999550e-02
7.000000000000000000e+00,8.857142857142856485e-02
8.000000000000000000e+00,9.137499999999999789e-02
9.000000000000000000e+00,8.366666666666666696e-02
1.000000000000000000e+01,7.470000000000000251e-02
1.100000000000000000e+01,6.818181818181817677e-02
1.200000000000000000e+01,6.258333333333333803e-02
1.300000000000000000e+01,5.761538461538461692e-02
1.400000000000000000e+01,5.357142857142856845e-02
1.500000000000000000e+01,5.000000000000000278e-02
1.600000000000000000e+01,4.681249999999999994e-02
1.700000000000000000e+01,4.405882352941176139e-02
1.800000000000000000e+01,4.161111111111111260e-02
1.900000000000000000e+01,3.942105263157894696e-02
2.000000000000000000e+01,3.744999999999999718e-02
2.100000000000000000e+01,3.566666666666666596e-02
2.200000000000000000e+01,3.404545454545454541e-02
2.300000000000000000e+01,3.256521739130435050e-02
2.400000000000000000e+01,3.120833333333333445e-02
2.500000000000000000e+01,2.996000000000000052e-02
2.600000000000000000e+01,2.880769230769230846e-02
2.700000000000000000e+01,2.774074074074073942e-02
2.800000000000000000e+01,2.674999999999999947e-02
2.900000000000000000e+01,2.582758620689655157e-02
3.000000000000000000e+01,2.439999999999999808e-02
3.100000000000000000e+01,2.416129032258064468e-02
3.200000000000000000e+01,2.340624999999999997e-02
