bits,pct_error
2.000000000000000000e+00,9.877313257291399395e+01
3.000000000000000000e+00,9.231066905047701709e+01
4.000000000000000000e+00,7.621793633904950127e+01
5.000000000000000000e+00,5.504202532913835455e+01
6.000000000000000000e+00,3.609907568550143964e+01
7.000000000000000000e+00,2.239323478010108559e+01
8.000000000000000000e+00,1.335791091209855530e+01
9.000000000000000000e+00,7.767227514119733556e+00
1.000000000000000000e+01,4.425745142085863115e+00
1.100000000000000000e+01,2.489186769643070729e+00
1.200000000000000000e+01,1.383982141550373468e+00
1.300000000000000000e+01,7.612681204622715470e-01
1.400000000000000000e+01,4.162725947360573775e-01
1.500000000000000000e+01,2.257644262917683775e-01
1.600000000000000000e+01,1.218327774981373957e-01
1.700000000000000000e+01,6.555553153540893963e-02
1.800000000000000000e+01,3.534643203732324573e-02
1.900000000000000000e+01,1.843044404479550133e-02
2.000000000000000000e+01,9.525034252957951392e-03
2.100000000000000000e+01,4.900664022826909522e-03
2.200000000000000000e+01,2.262013683950653709e-03
2.300000000000000000e+01,1.290945938363677933e-03
2.400000000000000000e+01,7.976639259159232481e-04
2.500000000000000000e+01,6.932808169048648283e-04
2.600000000000000000e+01,6.888764666362071553e-04
2.700000000000000000e+01,6.887753632630241310e-04
2.800000000000000000e+01,6.887753632630241310e-04
2.900000000000000000e+01,6.887753632630241310e-04
3.000000000000000000e+01,6.887753632630241310e-04
3.100000000000000000e+01,6.887753632630241310e-04
3.200000000000000000e+01,6.887753632630241310e-04
