bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,4.956204749126625828e-04
5.000000000000000000e+00,3.124686825053996087e-01
6.000000000000000000e+00,6.856268221574344235e-01
7.000000000000000000e+00,6.684682422451992956e-01
8.000000000000000000e+00,7.529940515532056455e-01
9.000000000000000000e+00,7.176832641770400922e-01
1.000000000000000000e+01,5.853424437299035166e-01
1.100000000000000000e+01,5.581143330571665118e-01
1.200000000000000000e+01,6.134831460674157189e-01
1.300000000000000000e+01,6.983388134381701695e-01
1.400000000000000000e+01,5.548970840480275113e-01
1.500000000000000000e+01,7.402044384667114674e-01
1.600000000000000000e+01,7.143966712898752736e-01
1.700000000000000000e+01,6.711373707533234700e-01
1.800000000000000000e+01,6.745449189985271987e-01
1.900000000000000000e+01,5.919488817891374044e-01
2.000000000000000000e+01,6.584245562130177643e-01
2.100000000000000000e+01,6.998002853067046836e-01
2.200000000000000000e+01,7.333405994550408202e-01
2.300000000000000000e+01,6.199178515007899293e-01
2.400000000000000000e+01,6.418015384615385344e-01
2.500000000000000000e+01,7.229744298548721471e-01
2.600000000000000000e+01,5.812556203164028767e-01
2.700000000000000000e+01,7.139875086745315347e-01
2.800000000000000000e+01,6.242620363062353350e-01
2.900000000000000000e+01,7.051841359773372009e-01
3.000000000000000000e+01,4.764896489648964839e-01
3.100000000000000000e+01,6.217714285714285305e-01
3.200000000000000000e+01,6.630930930930930556e-01
