bits,delta
3.100000000000000000e+01,4.132166452166452508e-02
3.000000000000000000e+01,1.452817796065320466e-01
2.900000000000000000e+01,-2.286944870124407170e-01
2.800000000000000000e+01,8.092209967110186586e-02
2.700000000000000000e+01,-8.972547236829619965e-02
2.600000000000000000e+01,1.327318883581286579e-01
2.500000000000000000e+01,-1.417188095384692703e-01
2.400000000000000000e+01,8.117289139333361270e-02
2.300000000000000000e+01,2.188368696074860509e-02
2.200000000000000000e+01,-1.134227479542508910e-01
2.100000000000000000e+01,3.354031414833613667e-02
2.000000000000000000e+01,4.137572909368691931e-02
1.900000000000000000e+01,6.647567442388035985e-02
1.800000000000000000e+01,-8.259603720938979432e-02
1.700000000000000000e+01,3.407548245203728676e-03
1.600000000000000000e+01,-4.325930053655180352e-02
1.500000000000000000e+01,-2.580776717683619381e-02
1.400000000000000000e+01,1.853073544186839561e-01
1.300000000000000000e+01,-1.434417293901426582e-01
1.200000000000000000e+01,8.485566737075445065e-02
1.100000000000000000e+01,5.536881301024920710e-02
1.000000000000000000e+01,-2.722811067273700480e-02
9.000000000000000000e+00,-1.323408204471365757e-01
8.000000000000000000e+00,-3.531078737616555330e-02
7.000000000000000000e+00,8.452580930800634995e-02
6.000000000000000000e+00,-1.715857991223512791e-02
5.000000000000000000e+00,3.731581396520348148e-01
4.000000000000000000e+00,3.119730620304869695e-01
3.000000000000000000e+00,4.956204749126625828e-04
2.000000000000000000e+00,0.000000000000000000e+00
