bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.239051187281656457e-04
5.000000000000000000e+00,6.249373650107992173e-02
6.000000000000000000e+00,1.142711370262390752e-01
7.000000000000000000e+00,9.549546317788561167e-02
8.000000000000000000e+00,9.412425644415070569e-02
9.000000000000000000e+00,7.974258490856001025e-02
1.000000000000000000e+01,5.853424437299035304e-02
1.100000000000000000e+01,5.073766664156059009e-02
1.200000000000000000e+01,5.112359550561797888e-02
1.300000000000000000e+01,5.371837026447463109e-02
1.400000000000000000e+01,3.963550600343053454e-02
1.500000000000000000e+01,4.934696256444743440e-02
1.600000000000000000e+01,4.464979195561720460e-02
1.700000000000000000e+01,3.947866886784255624e-02
1.800000000000000000e+01,3.747471772214040070e-02
1.900000000000000000e+01,3.115520430469144106e-02
2.000000000000000000e+01,3.292122781065089099e-02
2.100000000000000000e+01,3.332382310984308149e-02
2.200000000000000000e+01,3.333366361159276203e-02
2.300000000000000000e+01,2.695295006525173440e-02
2.400000000000000000e+01,2.674173076923077111e-02
2.500000000000000000e+01,2.891897719419488436e-02
2.600000000000000000e+01,2.235598539678472496e-02
2.700000000000000000e+01,2.644398180276042593e-02
2.800000000000000000e+01,2.229507272522269004e-02
2.900000000000000000e+01,2.431669434404611085e-02
3.000000000000000000e+01,1.588298829882988164e-02
3.100000000000000000e+01,2.005714285714285672e-02
3.200000000000000000e+01,2.072165915915915799e-02
