bits,value
2.000000000000000000e+00,3.667699999999999818e+03
3.000000000000000000e+00,3.692199999999999818e+03
4.000000000000000000e+00,3.917900000000000091e+03
5.000000000000000000e+00,3.849800000000000182e+03
6.000000000000000000e+00,3.837400000000000091e+03
7.000000000000000000e+00,3.898800000000000182e+03
8.000000000000000000e+00,3.432000000000000000e+03
9.000000000000000000e+00,3.806800000000000182e+03
1.000000000000000000e+01,4.772699999999999818e+03
1.100000000000000000e+01,4.903500000000000000e+03
1.200000000000000000e+01,4.823800000000000182e+03
1.300000000000000000e+01,5.110500000000000000e+03
1.400000000000000000e+01,5.030800000000000182e+03
1.500000000000000000e+01,4.918600000000000364e+03
1.600000000000000000e+01,5.370199999999999818e+03
1.700000000000000000e+01,4.175899999999999636e+03
1.800000000000000000e+01,5.418300000000000182e+03
1.900000000000000000e+01,4.661899999999999636e+03
2.000000000000000000e+01,4.844699999999999818e+03
2.100000000000000000e+01,5.401100000000000364e+03
2.200000000000000000e+01,4.139899999999999636e+03
2.300000000000000000e+01,3.916699999999999818e+03
2.400000000000000000e+01,3.929000000000000000e+03
2.500000000000000000e+01,3.856599999999999909e+03
2.600000000000000000e+01,4.070800000000000182e+03
2.700000000000000000e+01,4.060500000000000000e+03
2.800000000000000000e+01,4.176500000000000000e+03
2.900000000000000000e+01,3.195199999999999818e+03
3.000000000000000000e+01,3.380300000000000182e+03
3.100000000000000000e+01,3.895000000000000000e+03
3.200000000000000000e+01,4.306600000000000364e+03
