bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,6.900000000000000355e+00
5.000000000000000000e+00,1.980000000000000093e-01
6.000000000000000000e+00,5.580000000000000515e-01
7.000000000000000000e+00,5.250000000000000222e-01
8.000000000000000000e+00,6.380000000000000115e-01
9.000000000000000000e+00,5.889999999999999680e-01
1.000000000000000000e+01,4.079999999999999738e-01
1.100000000000000000e+01,3.910000000000000142e-01
1.200000000000000000e+01,4.510000000000000120e-01
1.300000000000000000e+01,5.560000000000000497e-01
1.400000000000000000e+01,3.790000000000000036e-01
1.500000000000000000e+01,6.149999999999999911e-01
1.600000000000000000e+01,5.709999999999999520e-01
1.700000000000000000e+01,5.330000000000000293e-01
1.800000000000000000e+01,5.360000000000000320e-01
1.900000000000000000e+01,4.149999999999999800e-01
2.000000000000000000e+01,4.959999999999999964e-01
2.100000000000000000e+01,5.560000000000000497e-01
2.200000000000000000e+01,6.149999999999999911e-01
2.300000000000000000e+01,4.520000000000000129e-01
2.400000000000000000e+01,4.739999999999999769e-01
2.500000000000000000e+01,5.949999999999999734e-01
2.600000000000000000e+01,4.099999999999999756e-01
2.700000000000000000e+01,5.709999999999999520e-01
2.800000000000000000e+01,4.560000000000000164e-01
2.900000000000000000e+01,5.689999999999999503e-01
3.000000000000000000e+01,3.089999999999999969e-01
3.100000000000000000e+01,4.650000000000000244e-01
3.200000000000000000e+01,5.150000000000000133e-01
