bits,delta
3.100000000000000000e+01,4.999999999999998890e-02
3.000000000000000000e+01,1.560000000000000275e-01
2.900000000000000000e+01,-2.599999999999999534e-01
2.800000000000000000e+01,1.129999999999999338e-01
2.700000000000000000e+01,-1.149999999999999356e-01
2.600000000000000000e+01,1.609999999999999765e-01
2.500000000000000000e+01,-1.849999999999999978e-01
2.400000000000000000e+01,1.209999999999999964e-01
2.300000000000000000e+01,2.199999999999996403e-02
2.200000000000000000e+01,-1.629999999999999782e-01
2.100000000000000000e+01,5.899999999999994138e-02
2.000000000000000000e+01,6.000000000000005329e-02
1.900000000000000000e+01,8.100000000000001643e-02
1.800000000000000000e+01,-1.210000000000000520e-01
1.700000000000000000e+01,3.000000000000002665e-03
1.600000000000000000e+01,-3.799999999999992273e-02
1.500000000000000000e+01,-4.400000000000003908e-02
1.400000000000000000e+01,2.359999999999999876e-01
1.300000000000000000e+01,-1.770000000000000462e-01
1.200000000000000000e+01,1.050000000000000377e-01
1.100000000000000000e+01,5.999999999999999778e-02
1.000000000000000000e+01,-1.699999999999995959e-02
9.000000000000000000e+00,-1.809999999999999942e-01
8.000000000000000000e+00,-4.900000000000004352e-02
7.000000000000000000e+00,1.129999999999999893e-01
6.000000000000000000e+00,-3.300000000000002931e-02
5.000000000000000000e+00,3.600000000000000422e-01
4.000000000000000000e+00,-6.701999999999999957e+00
3.000000000000000000e+00,6.900000000000000355e+00
2.000000000000000000e+00,0.000000000000000000e+00
