bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,2.169999999999999891e-04
5.000000000000000000e+00,2.540000000000000036e-01
6.000000000000000000e+00,7.189999999999999725e-01
7.000000000000000000e+00,6.630000000000000338e-01
8.000000000000000000e+00,8.000000000000000444e-01
9.000000000000000000e+00,7.429999999999999938e-01
1.000000000000000000e+01,5.050000000000000044e-01
1.100000000000000000e+01,4.909999999999999920e-01
1.200000000000000000e+01,5.679999999999999494e-01
1.300000000000000000e+01,7.059999999999999609e-01
1.400000000000000000e+01,4.919999999999999929e-01
1.500000000000000000e+01,7.780000000000000249e-01
1.600000000000000000e+01,7.189999999999999725e-01
1.700000000000000000e+01,6.740000000000000435e-01
1.800000000000000000e+01,6.870000000000000551e-01
1.900000000000000000e+01,5.290000000000000258e-01
2.000000000000000000e+01,6.250000000000000000e-01
2.100000000000000000e+01,7.059999999999999609e-01
2.200000000000000000e+01,7.790000000000000258e-01
2.300000000000000000e+01,5.839999999999999636e-01
2.400000000000000000e+01,5.969999999999999751e-01
2.500000000000000000e+01,7.520000000000000018e-01
2.600000000000000000e+01,5.280000000000000249e-01
2.700000000000000000e+01,7.189999999999999725e-01
2.800000000000000000e+01,5.769999999999999574e-01
2.900000000000000000e+01,7.209999999999999742e-01
3.000000000000000000e+01,4.040000000000000258e-01
3.100000000000000000e+01,5.849999999999999645e-01
3.200000000000000000e+01,6.540000000000000258e-01
