bits,delta
3.100000000000000000e+01,6.900000000000006128e-02
3.000000000000000000e+01,1.809999999999999387e-01
2.900000000000000000e+01,-3.169999999999999485e-01
2.800000000000000000e+01,1.440000000000000169e-01
2.700000000000000000e+01,-1.420000000000000151e-01
2.600000000000000000e+01,1.909999999999999476e-01
2.500000000000000000e+01,-2.239999999999999769e-01
2.400000000000000000e+01,1.550000000000000266e-01
2.300000000000000000e+01,1.300000000000001155e-02
2.200000000000000000e+01,-1.950000000000000622e-01
2.100000000000000000e+01,7.300000000000006484e-02
2.000000000000000000e+01,8.099999999999996092e-02
1.900000000000000000e+01,9.599999999999997424e-02
1.800000000000000000e+01,-1.580000000000000293e-01
1.700000000000000000e+01,1.300000000000001155e-02
1.600000000000000000e+01,-4.499999999999992895e-02
1.500000000000000000e+01,-5.900000000000005240e-02
1.400000000000000000e+01,2.860000000000000320e-01
1.300000000000000000e+01,-2.139999999999999680e-01
1.200000000000000000e+01,1.380000000000000115e-01
1.100000000000000000e+01,7.699999999999995737e-02
1.000000000000000000e+01,-1.400000000000001243e-02
9.000000000000000000e+00,-2.379999999999999893e-01
8.000000000000000000e+00,-5.700000000000005063e-02
7.000000000000000000e+00,1.370000000000000107e-01
6.000000000000000000e+00,-5.599999999999993872e-02
5.000000000000000000e+00,4.649999999999999689e-01
4.000000000000000000e+00,2.537829999999999808e-01
3.000000000000000000e+00,2.169999999999999891e-04
2.000000000000000000e+00,0.000000000000000000e+00
