bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,5.424999999999999728e-05
5.000000000000000000e+00,5.079999999999999793e-02
6.000000000000000000e+00,1.198333333333333334e-01
7.000000000000000000e+00,9.471428571428572307e-02
8.000000000000000000e+00,1.000000000000000056e-01
9.000000000000000000e+00,8.255555555555554870e-02
1.000000000000000000e+01,5.050000000000000322e-02
1.100000000000000000e+01,4.463636363636363374e-02
1.200000000000000000e+01,4.733333333333333143e-02
1.300000000000000000e+01,5.430769230769230682e-02
1.400000000000000000e+01,3.514285714285714235e-02
1.500000000000000000e+01,5.186666666666666509e-02
1.600000000000000000e+01,4.493749999999999828e-02
1.700000000000000000e+01,3.964705882352941718e-02
1.800000000000000000e+01,3.816666666666666818e-02
1.900000000000000000e+01,2.784210526315789719e-02
2.000000000000000000e+01,3.125000000000000000e-02
2.100000000000000000e+01,3.361904761904761785e-02
2.200000000000000000e+01,3.540909090909091089e-02
2.300000000000000000e+01,2.539130434782608386e-02
2.400000000000000000e+01,2.487499999999999781e-02
2.500000000000000000e+01,3.007999999999999910e-02
2.600000000000000000e+01,2.030769230769230785e-02
2.700000000000000000e+01,2.662962962962962810e-02
2.800000000000000000e+01,2.060714285714285512e-02
2.900000000000000000e+01,2.486206896551724013e-02
3.000000000000000000e+01,1.346666666666666672e-02
3.100000000000000000e+01,1.887096774193548418e-02
3.200000000000000000e+01,2.043750000000000080e-02
