bits,pct_error
2.000000000000000000e+00,9.856609773319379997e+01
3.000000000000000000e+00,9.222173926840841318e+01
4.000000000000000000e+00,7.744394514413006902e+01
5.000000000000000000e+00,5.710629641811932089e+01
6.000000000000000000e+00,3.791184755849891275e+01
7.000000000000000000e+00,2.362066220442673625e+01
8.000000000000000000e+00,1.409424019532393579e+01
9.000000000000000000e+00,8.198710101495901625e+00
1.000000000000000000e+01,4.672110854520306056e+00
1.100000000000000000e+01,2.627829689866310936e+00
1.200000000000000000e+01,1.461274790849569571e+00
1.300000000000000000e+01,8.053210784876368988e-01
1.400000000000000000e+01,4.381472151140544113e-01
1.500000000000000000e+01,2.357155025661850922e-01
1.600000000000000000e+01,1.265834821995957538e-01
1.700000000000000000e+01,6.727419122438957344e-02
1.800000000000000000e+01,3.508004106936670613e-02
1.900000000000000000e+01,1.829361730097336936e-02
2.000000000000000000e+01,9.476668259015087747e-03
2.100000000000000000e+01,4.678404476272284354e-03
2.200000000000000000e+01,2.398370015431681036e-03
2.300000000000000000e+01,1.361289821513905632e-03
2.400000000000000000e+01,7.039127775438442031e-04
2.500000000000000000e+01,5.881683066504154794e-04
2.600000000000000000e+01,5.659153840830479778e-04
2.700000000000000000e+01,5.651632604834619855e-04
2.800000000000000000e+01,5.651632604834619855e-04
2.900000000000000000e+01,5.651632604834619855e-04
3.000000000000000000e+01,5.651632604834619855e-04
3.100000000000000000e+01,5.651632604834619855e-04
3.200000000000000000e+01,5.651632604834619855e-04
