bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.235922944740888143e-03
5.000000000000000000e+00,1.053293429465378683e-01
6.000000000000000000e+00,7.002399435426958085e-01
7.000000000000000000e+00,7.216692041522491108e-01
8.000000000000000000e+00,7.394993270524897744e-01
9.000000000000000000e+00,7.458543754175017693e-01
1.000000000000000000e+01,7.359784075573548856e-01
1.100000000000000000e+01,6.833832976445396445e-01
1.200000000000000000e+01,7.087500000000001021e-01
1.300000000000000000e+01,6.543764705882353372e-01
1.400000000000000000e+01,6.772974963181147556e-01
1.500000000000000000e+01,7.472127659574467895e-01
1.600000000000000000e+01,7.062876997915218391e-01
1.700000000000000000e+01,7.472127659574467895e-01
1.800000000000000000e+01,6.546442451420029229e-01
1.900000000000000000e+01,7.390531271015466919e-01
2.000000000000000000e+01,6.831361368496078335e-01
2.100000000000000000e+01,6.932240282685512289e-01
2.200000000000000000e+01,6.262941176470587790e-01
2.300000000000000000e+01,6.955461592670895143e-01
2.400000000000000000e+01,6.930448398576513069e-01
2.500000000000000000e+01,7.472127659574467895e-01
2.600000000000000000e+01,6.678464977645305334e-01
2.700000000000000000e+01,7.472127659574467895e-01
2.800000000000000000e+01,7.460452729693741736e-01
2.900000000000000000e+01,6.828538011695907128e-01
3.000000000000000000e+01,7.287423521414004846e-01
3.100000000000000000e+01,5.763572003218020434e-01
3.200000000000000000e+01,6.607586715867158622e-01
