bits,delta
3.100000000000000000e+01,8.440147126491381879e-02
3.000000000000000000e+01,-1.523851518195984411e-01
2.900000000000000000e+01,4.588855097180977172e-02
2.800000000000000000e+01,-6.319147179978346074e-02
2.700000000000000000e+01,-1.167492988072615923e-03
2.600000000000000000e+01,7.936626819291625612e-02
2.500000000000000000e+01,-7.936626819291625612e-02
2.400000000000000000e+01,5.416792609979548256e-02
2.300000000000000000e+01,-2.501319409438207408e-03
2.200000000000000000e+01,6.925204162003073538e-02
2.100000000000000000e+01,-6.692991062149244996e-02
2.000000000000000000e+01,1.008789141894339547e-02
1.900000000000000000e+01,-5.591699025193885841e-02
1.800000000000000000e+01,8.440888195954376894e-02
1.700000000000000000e+01,-9.256852081544386657e-02
1.600000000000000000e+01,4.092506616592495039e-02
1.500000000000000000e+01,-4.092506616592495039e-02
1.400000000000000000e+01,6.991526963933203387e-02
1.300000000000000000e+01,2.292102572987941844e-02
1.200000000000000000e+01,-5.437352941176476495e-02
1.100000000000000000e+01,2.536670235546045760e-02
1.000000000000000000e+01,-5.259510991281524106e-02
9.000000000000000000e+00,-9.875967860146883659e-03
8.000000000000000000e+00,6.355048365011994882e-03
7.000000000000000000e+00,1.783012290024066360e-02
6.000000000000000000e+00,2.142926060955330225e-02
5.000000000000000000e+00,5.949106005961579680e-01
4.000000000000000000e+00,1.040934200017969852e-01
3.000000000000000000e+00,1.235922944740888143e-03
2.000000000000000000e+00,0.000000000000000000e+00
