bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,3.089807361852220358e-04
5.000000000000000000e+00,2.106586858930757297e-02
6.000000000000000000e+00,1.167066572571159727e-01
7.000000000000000000e+00,1.030956005931784464e-01
8.000000000000000000e+00,9.243741588156122180e-02
9.000000000000000000e+00,8.287270837972242343e-02
1.000000000000000000e+01,7.359784075573548578e-02
1.100000000000000000e+01,6.212575433132178776e-02
1.200000000000000000e+01,5.906250000000001082e-02
1.300000000000000000e+01,5.033665158371040949e-02
1.400000000000000000e+01,4.837839259415105397e-02
1.500000000000000000e+01,4.981418439716311930e-02
1.600000000000000000e+01,4.414298123697011494e-02
1.700000000000000000e+01,4.395369211514393165e-02
1.800000000000000000e+01,3.636912473011127273e-02
1.900000000000000000e+01,3.889753300534456310e-02
2.000000000000000000e+01,3.415680684248038890e-02
2.100000000000000000e+01,3.301066801278815244e-02
2.200000000000000000e+01,2.846791443850267209e-02
2.300000000000000000e+01,3.024113735943867454e-02
2.400000000000000000e+01,2.887686832740213663e-02
2.500000000000000000e+01,2.988851063829787297e-02
2.600000000000000000e+01,2.568640376017424995e-02
2.700000000000000000e+01,2.767454688731284251e-02
2.800000000000000000e+01,2.664447403462050570e-02
2.900000000000000000e+01,2.354668279895140437e-02
3.000000000000000000e+01,2.429141173804668166e-02
3.100000000000000000e+01,1.859216775231619517e-02
3.200000000000000000e+01,2.064870848708487069e-02
