bits,value
2.000000000000000000e+00,1.606599999999999909e+03
3.000000000000000000e+00,1.613599999999999909e+03
4.000000000000000000e+00,1.739200000000000045e+03
5.000000000000000000e+00,1.778599999999999909e+03
6.000000000000000000e+00,1.734099999999999909e+03
7.000000000000000000e+00,1.920799999999999955e+03
8.000000000000000000e+00,1.025400000000000091e+03
9.000000000000000000e+00,9.028999999999999773e+02
1.000000000000000000e+01,2.656500000000000000e+03
1.100000000000000000e+01,2.104300000000000182e+03
1.200000000000000000e+01,2.340699999999999818e+03
1.300000000000000000e+01,2.829599999999999909e+03
1.400000000000000000e+01,1.982500000000000000e+03
1.500000000000000000e+01,1.175500000000000000e+03
1.600000000000000000e+01,2.084400000000000091e+03
1.700000000000000000e+01,1.968500000000000000e+03
1.800000000000000000e+01,2.288699999999999818e+03
1.900000000000000000e+01,1.817200000000000045e+03
2.000000000000000000e+01,2.194900000000000091e+03
2.100000000000000000e+01,2.361699999999999818e+03
2.200000000000000000e+01,1.899099999999999909e+03
2.300000000000000000e+01,2.175800000000000182e+03
2.400000000000000000e+01,1.611000000000000000e+03
2.500000000000000000e+01,1.868200000000000045e+03
2.600000000000000000e+01,1.365200000000000045e+03
2.700000000000000000e+01,5.036000000000000227e+02
2.800000000000000000e+01,4.851000000000000227e+02
2.900000000000000000e+01,1.756200000000000045e+03
3.000000000000000000e+01,2.059400000000000091e+03
3.100000000000000000e+01,2.013900000000000091e+03
3.200000000000000000e+01,2.047400000000000091e+03
