bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,4.749999999999999990e-04
5.000000000000000000e+00,6.619999999999999496e-02
6.000000000000000000e+00,5.210000000000000187e-01
7.000000000000000000e+00,5.869999999999999662e-01
8.000000000000000000e+00,6.169999999999999929e-01
9.000000000000000000e+00,6.199999999999999956e-01
1.000000000000000000e+01,6.129999999999999893e-01
1.100000000000000000e+01,5.150000000000000133e-01
1.200000000000000000e+01,5.689999999999999503e-01
1.300000000000000000e+01,5.010000000000000009e-01
1.400000000000000000e+01,5.390000000000000346e-01
1.500000000000000000e+01,6.219999999999999973e-01
1.600000000000000000e+01,5.669999999999999485e-01
1.700000000000000000e+01,6.219999999999999973e-01
1.800000000000000000e+01,4.859999999999999876e-01
1.900000000000000000e+01,6.189999999999999947e-01
2.000000000000000000e+01,5.200000000000000178e-01
2.100000000000000000e+01,5.470000000000000417e-01
2.200000000000000000e+01,4.400000000000000022e-01
2.300000000000000000e+01,5.500000000000000444e-01
2.400000000000000000e+01,5.570000000000000506e-01
2.500000000000000000e+01,6.219999999999999973e-01
2.600000000000000000e+01,5.210000000000000187e-01
2.700000000000000000e+01,6.219999999999999973e-01
2.800000000000000000e+01,6.199999999999999956e-01
2.900000000000000000e+01,5.460000000000000409e-01
3.000000000000000000e+01,5.839999999999999636e-01
3.100000000000000000e+01,3.870000000000000107e-01
3.200000000000000000e+01,4.929999999999999938e-01
