bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.350000000000000071e-03
5.000000000000000000e+00,8.949999999999999623e-02
6.000000000000000000e+00,7.079999999999999627e-01
7.000000000000000000e+00,7.560000000000000053e-01
8.000000000000000000e+00,7.880000000000000338e-01
9.000000000000000000e+00,7.950000000000000400e-01
1.000000000000000000e+01,7.840000000000000302e-01
1.100000000000000000e+01,6.520000000000000240e-01
1.200000000000000000e+01,7.189999999999999725e-01
1.300000000000000000e+01,6.340000000000000080e-01
1.400000000000000000e+01,6.949999999999999512e-01
1.500000000000000000e+01,7.960000000000000409e-01
1.600000000000000000e+01,7.179999999999999716e-01
1.700000000000000000e+01,7.960000000000000409e-01
1.800000000000000000e+01,6.209999999999999964e-01
1.900000000000000000e+01,7.900000000000000355e-01
2.000000000000000000e+01,6.670000000000000373e-01
2.100000000000000000e+01,7.019999999999999574e-01
2.200000000000000000e+01,5.570000000000000506e-01
2.300000000000000000e+01,7.059999999999999609e-01
2.400000000000000000e+01,7.159999999999999698e-01
2.500000000000000000e+01,7.960000000000000409e-01
2.600000000000000000e+01,6.760000000000000453e-01
2.700000000000000000e+01,7.960000000000000409e-01
2.800000000000000000e+01,7.950000000000000400e-01
2.900000000000000000e+01,7.029999999999999583e-01
3.000000000000000000e+01,7.510000000000000009e-01
3.100000000000000000e+01,5.090000000000000080e-01
3.200000000000000000e+01,6.390000000000000124e-01
