bits,delta
3.100000000000000000e+01,1.300000000000000044e-01
3.000000000000000000e+01,-2.419999999999999929e-01
2.900000000000000000e+01,4.800000000000004263e-02
2.800000000000000000e+01,-9.200000000000008171e-02
2.700000000000000000e+01,-1.000000000000000888e-03
2.600000000000000000e+01,1.199999999999999956e-01
2.500000000000000000e+01,-1.199999999999999956e-01
2.400000000000000000e+01,8.000000000000007105e-02
2.300000000000000000e+01,1.000000000000000888e-02
2.200000000000000000e+01,1.489999999999999103e-01
2.100000000000000000e+01,-1.449999999999999067e-01
2.000000000000000000e+01,3.499999999999992006e-02
1.900000000000000000e+01,-1.229999999999999982e-01
1.800000000000000000e+01,1.690000000000000391e-01
1.700000000000000000e+01,-1.750000000000000444e-01
1.600000000000000000e+01,7.800000000000006928e-02
1.500000000000000000e+01,-7.800000000000006928e-02
1.400000000000000000e+01,1.010000000000000897e-01
1.300000000000000000e+01,6.099999999999994316e-02
1.200000000000000000e+01,-8.499999999999996447e-02
1.100000000000000000e+01,6.699999999999994849e-02
1.000000000000000000e+01,-1.320000000000000062e-01
9.000000000000000000e+00,-1.100000000000000977e-02
8.000000000000000000e+00,7.000000000000006217e-03
7.000000000000000000e+00,3.200000000000002842e-02
6.000000000000000000e+00,4.800000000000004263e-02
5.000000000000000000e+00,6.184999999999999387e-01
4.000000000000000000e+00,8.814999999999999225e-02
3.000000000000000000e+00,1.350000000000000071e-03
2.000000000000000000e+00,0.000000000000000000e+00
