bits,value
2.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,3.375000000000000179e-04
5.000000000000000000e+00,1.789999999999999925e-02
6.000000000000000000e+00,1.179999999999999938e-01
7.000000000000000000e+00,1.079999999999999988e-01
8.000000000000000000e+00,9.850000000000000422e-02
9.000000000000000000e+00,8.833333333333333315e-02
1.000000000000000000e+01,7.839999999999999747e-02
1.100000000000000000e+01,5.927272727272727554e-02
1.200000000000000000e+01,5.991666666666666669e-02
1.300000000000000000e+01,4.876923076923077305e-02
1.400000000000000000e+01,4.964285714285714135e-02
1.500000000000000000e+01,5.306666666666667170e-02
1.600000000000000000e+01,4.487499999999999822e-02
1.700000000000000000e+01,4.682352941176470829e-02
1.800000000000000000e+01,3.450000000000000289e-02
1.900000000000000000e+01,4.157894736842105560e-02
2.000000000000000000e+01,3.335000000000000464e-02
2.100000000000000000e+01,3.342857142857142555e-02
2.200000000000000000e+01,2.531818181818181954e-02
2.300000000000000000e+01,3.069565217391304057e-02
2.400000000000000000e+01,2.983333333333333323e-02
2.500000000000000000e+01,3.184000000000000025e-02
2.600000000000000000e+01,2.600000000000000228e-02
2.700000000000000000e+01,2.948148148148148351e-02
2.800000000000000000e+01,2.839285714285714329e-02
2.900000000000000000e+01,2.424137931034482663e-02
3.000000000000000000e+01,2.503333333333333452e-02
3.100000000000000000e+01,1.641935483870967868e-02
3.200000000000000000e+01,1.996875000000000039e-02
