bits,pct_error
2.000000000000000000e+00,9.735702719878067057e+01
3.000000000000000000e+00,8.668558751656250649e+01
4.000000000000000000e+00,6.755255897614088667e+01
5.000000000000000000e+00,4.692646702328188724e+01
6.000000000000000000e+00,3.020571880254217234e+01
7.000000000000000000e+00,1.840994125126268344e+01
8.000000000000000000e+00,1.085467677648094487e+01
9.000000000000000000e+00,6.271437122565905575e+00
1.000000000000000000e+01,3.564009019464720041e+00
1.100000000000000000e+01,1.998731463390868157e+00
1.200000000000000000e+01,1.094215392103333961e+00
1.300000000000000000e+01,6.025847517776128370e-01
1.400000000000000000e+01,3.337880507264013863e-01
1.500000000000000000e+01,1.775029045967874697e-01
1.600000000000000000e+01,9.593834674888057634e-02
1.700000000000000000e+01,5.217074838283637661e-02
1.800000000000000000e+01,2.752856869624958555e-02
1.900000000000000000e+01,1.472405504691984973e-02
2.000000000000000000e+01,7.701289744297603636e-03
2.100000000000000000e+01,4.131670066730531304e-03
2.200000000000000000e+01,2.027003056700752044e-03
2.300000000000000000e+01,1.101384641444269619e-03
2.400000000000000000e+01,5.149996657006671507e-04
2.500000000000000000e+01,3.372458184007372218e-04
2.600000000000000000e+01,3.266258844205414524e-04
2.700000000000000000e+01,3.197756867866597763e-04
2.800000000000000000e+01,3.197756867866597763e-04
2.900000000000000000e+01,3.197756867866597763e-04
3.000000000000000000e+01,3.197756867866597763e-04
3.100000000000000000e+01,3.197756867866597763e-04
3.200000000000000000e+01,3.197756867866597763e-04
