bits,value
2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.842379466973129544e-03
5.000000000000000000e+00,2.370278637770897867e-02
6.000000000000000000e+00,4.462024471635149814e-01
7.000000000000000000e+00,6.109514563106795970e-01
8.000000000000000000e+00,6.227287319422150080e-01
9.000000000000000000e+00,6.278269841269841223e-01
1.000000000000000000e+01,6.276092136616362449e-01
1.100000000000000000e+01,6.277172359015091851e-01
1.200000000000000000e+01,6.258930566640064086e-01
1.300000000000000000e+01,6.228095999999999632e-01
1.400000000000000000e+01,6.242553870710294550e-01
1.500000000000000000e+01,6.218734987990391927e-01
1.600000000000000000e+01,6.242553870710294550e-01
1.700000000000000000e+01,6.238130990415334809e-01
1.800000000000000000e+01,6.238130990415334809e-01
1.900000000000000000e+01,6.238130990415334809e-01
2.000000000000000000e+01,6.149025974025974506e-01
2.100000000000000000e+01,6.254522292993630606e-01
2.200000000000000000e+01,6.238130990415334809e-01
2.300000000000000000e+01,6.238130990415334809e-01
2.400000000000000000e+01,6.238130990415334809e-01
2.500000000000000000e+01,6.238130990415334809e-01
2.600000000000000000e+01,6.238130990415334809e-01
2.700000000000000000e+01,6.238130990415334809e-01
2.800000000000000000e+01,6.238130990415334809e-01
2.900000000000000000e+01,6.238130990415334809e-01
3.000000000000000000e+01,6.238130990415334809e-01
3.100000000000000000e+01,6.238130990415334809e-01
3.200000000000000000e+01,6.238130990415334809e-01
