bits,delta
3.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,-1.639130257829579662e-03
2.000000000000000000e+01,1.054963189676560997e-02
1.900000000000000000e+01,-8.910501638936030311e-03
1.800000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,-4.422880294959741221e-04
1.500000000000000000e+01,2.381888271990262318e-03
1.400000000000000000e+01,-2.381888271990262318e-03
1.300000000000000000e+01,1.445787071029491777e-03
1.200000000000000000e+01,-3.083456664006445358e-03
1.100000000000000000e+01,-1.824179237502776552e-03
1.000000000000000000e+01,1.080222398729402400e-04
9.000000000000000000e+00,-2.177704653478773622e-04
8.000000000000000000e+00,5.098252184769114237e-03
7.000000000000000000e+00,1.177727563153541102e-02
6.000000000000000000e+00,1.647490091471646156e-01
5.000000000000000000e+00,4.224996607858060305e-01
4.000000000000000000e+00,2.186040691073585021e-02
2.000000000000000000e+00,1.842379466973129544e-03
