bits,value
2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,4.605948667432823861e-04
5.000000000000000000e+00,4.740557275541795387e-03
6.000000000000000000e+00,7.436707452725249690e-02
7.000000000000000000e+00,8.727877947295423211e-02
8.000000000000000000e+00,7.784109149277687600e-02
9.000000000000000000e+00,6.975855379188712624e-02
1.000000000000000000e+01,6.276092136616362449e-02
1.100000000000000000e+01,5.706520326377356039e-02
1.200000000000000000e+01,5.215775472200053636e-02
1.300000000000000000e+01,4.790843076923076427e-02
1.400000000000000000e+01,4.458967050507352953e-02
1.500000000000000000e+01,4.145823325326927766e-02
1.600000000000000000e+01,3.901596169193934094e-02
1.700000000000000000e+01,3.669488817891373295e-02
1.800000000000000000e+01,3.465628328008519415e-02
1.900000000000000000e+01,3.283226837060702202e-02
2.000000000000000000e+01,3.074512987012987392e-02
2.100000000000000000e+01,2.978343949044585937e-02
2.200000000000000000e+01,2.835514086552425039e-02
2.300000000000000000e+01,2.712230865397971535e-02
2.400000000000000000e+01,2.599221246006389388e-02
2.500000000000000000e+01,2.495252396166133813e-02
2.600000000000000000e+01,2.399281150159743997e-02
2.700000000000000000e+01,2.310418885339013059e-02
2.800000000000000000e+01,2.227903925148333811e-02
2.900000000000000000e+01,2.151079651867356807e-02
3.000000000000000000e+01,2.079376996805111510e-02
3.100000000000000000e+01,2.012300319488817546e-02
3.200000000000000000e+01,1.949415934504792128e-02
