bits,value
2.000000000000000000e+00,6.550000000000000000e+01
4.000000000000000000e+00,7.440000000000000568e+01
5.000000000000000000e+00,8.059999999999999432e+01
6.000000000000000000e+00,8.509999999999999432e+01
7.000000000000000000e+00,8.359999999999999432e+01
8.000000000000000000e+00,7.550000000000000000e+01
9.000000000000000000e+00,7.829999999999999716e+01
1.000000000000000000e+01,6.050000000000000000e+01
1.100000000000000000e+01,6.550000000000000000e+01
1.200000000000000000e+01,5.920000000000000284e+01
1.300000000000000000e+01,6.220000000000000284e+01
1.400000000000000000e+01,5.229999999999999716e+01
1.500000000000000000e+01,5.910000000000000142e+01
1.600000000000000000e+01,7.340000000000000568e+01
1.700000000000000000e+01,8.800000000000000000e+01
1.800000000000000000e+01,9.309999999999999432e+01
1.900000000000000000e+01,8.320000000000000284e+01
2.000000000000000000e+01,6.870000000000000284e+01
2.100000000000000000e+01,6.350000000000000000e+01
2.200000000000000000e+01,9.590000000000000568e+01
2.300000000000000000e+01,7.890000000000000568e+01
2.400000000000000000e+01,7.629999999999999716e+01
2.500000000000000000e+01,6.220000000000000284e+01
2.600000000000000000e+01,6.010000000000000142e+01
2.700000000000000000e+01,7.659999999999999432e+01
2.800000000000000000e+01,6.759999999999999432e+01
2.900000000000000000e+01,7.490000000000000568e+01
3.000000000000000000e+01,8.190000000000000568e+01
3.100000000000000000e+01,7.240000000000000568e+01
3.200000000000000000e+01,6.790000000000000568e+01
