bits,value
2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.090000000000000040e-03
5.000000000000000000e+00,1.439999999999999961e-02
6.000000000000000000e+00,3.130000000000000004e-01
7.000000000000000000e+00,4.660000000000000253e-01
8.000000000000000000e+00,4.949999999999999956e-01
9.000000000000000000e+00,5.050000000000000044e-01
1.000000000000000000e+01,5.030000000000000027e-01
1.100000000000000000e+01,5.050000000000000044e-01
1.200000000000000000e+01,5.040000000000000036e-01
1.300000000000000000e+01,5.020000000000000018e-01
1.400000000000000000e+01,5.020000000000000018e-01
1.500000000000000000e+01,4.969999999999999973e-01
1.600000000000000000e+01,5.020000000000000018e-01
1.700000000000000000e+01,5.020000000000000018e-01
1.800000000000000000e+01,5.020000000000000018e-01
1.900000000000000000e+01,5.020000000000000018e-01
2.000000000000000000e+01,4.829999999999999849e-01
2.100000000000000000e+01,5.020000000000000018e-01
2.200000000000000000e+01,5.020000000000000018e-01
2.300000000000000000e+01,5.020000000000000018e-01
2.400000000000000000e+01,5.020000000000000018e-01
2.500000000000000000e+01,5.020000000000000018e-01
2.600000000000000000e+01,5.020000000000000018e-01
2.700000000000000000e+01,5.020000000000000018e-01
2.800000000000000000e+01,5.020000000000000018e-01
2.900000000000000000e+01,5.020000000000000018e-01
3.000000000000000000e+01,5.020000000000000018e-01
3.100000000000000000e+01,5.020000000000000018e-01
3.200000000000000000e+01,5.020000000000000018e-01
