bits,value
2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,1.899999999999999996e-03
5.000000000000000000e+00,2.570000000000000062e-02
6.000000000000000000e+00,4.490000000000000102e-01
7.000000000000000000e+00,6.260000000000000009e-01
8.000000000000000000e+00,6.630000000000000338e-01
9.000000000000000000e+00,6.710000000000000409e-01
1.000000000000000000e+01,6.730000000000000426e-01
1.100000000000000000e+01,6.730000000000000426e-01
1.200000000000000000e+01,6.710000000000000409e-01
1.300000000000000000e+01,6.690000000000000391e-01
1.400000000000000000e+01,6.700000000000000400e-01
1.500000000000000000e+01,6.620000000000000329e-01
1.600000000000000000e+01,6.700000000000000400e-01
1.700000000000000000e+01,6.700000000000000400e-01
1.800000000000000000e+01,6.700000000000000400e-01
1.900000000000000000e+01,6.700000000000000400e-01
2.000000000000000000e+01,6.400000000000000133e-01
2.100000000000000000e+01,6.700000000000000400e-01
2.200000000000000000e+01,6.700000000000000400e-01
2.300000000000000000e+01,6.700000000000000400e-01
2.400000000000000000e+01,6.700000000000000400e-01
2.500000000000000000e+01,6.700000000000000400e-01
2.600000000000000000e+01,6.700000000000000400e-01
2.700000000000000000e+01,6.700000000000000400e-01
2.800000000000000000e+01,6.700000000000000400e-01
2.900000000000000000e+01,6.700000000000000400e-01
3.000000000000000000e+01,6.700000000000000400e-01
3.100000000000000000e+01,6.700000000000000400e-01
3.200000000000000000e+01,6.700000000000000400e-01
