bits,delta
3.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.100000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,3.000000000000002665e-02
1.900000000000000000e+01,-3.000000000000002665e-02
1.800000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,8.000000000000007105e-03
1.400000000000000000e+01,-8.000000000000007105e-03
1.300000000000000000e+01,1.000000000000000888e-03
1.200000000000000000e+01,-2.000000000000001776e-03
1.100000000000000000e+01,-2.000000000000001776e-03
1.000000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,2.000000000000001776e-03
8.000000000000000000e+00,8.000000000000007105e-03
7.000000000000000000e+00,3.700000000000003286e-02
6.000000000000000000e+00,1.769999999999999907e-01
5.000000000000000000e+00,4.233000000000000096e-01
4.000000000000000000e+00,2.380000000000000171e-02
2.000000000000000000e+00,1.899999999999999996e-03
