bits,value
2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,4.749999999999999990e-04
5.000000000000000000e+00,5.140000000000000471e-03
6.000000000000000000e+00,7.483333333333333504e-02
7.000000000000000000e+00,8.942857142857142672e-02
8.000000000000000000e+00,8.287500000000000422e-02
9.000000000000000000e+00,7.455555555555555547e-02
1.000000000000000000e+01,6.729999999999999871e-02
1.100000000000000000e+01,6.118181818181818443e-02
1.200000000000000000e+01,5.591666666666667007e-02
1.300000000000000000e+01,5.146153846153846134e-02
1.400000000000000000e+01,4.785714285714286198e-02
1.500000000000000000e+01,4.413333333333333691e-02
1.600000000000000000e+01,4.187500000000000250e-02
1.700000000000000000e+01,3.941176470588235448e-02
1.800000000000000000e+01,3.722222222222222598e-02
1.900000000000000000e+01,3.526315789473684348e-02
2.000000000000000000e+01,3.200000000000000067e-02
2.100000000000000000e+01,3.190476190476190799e-02
2.200000000000000000e+01,3.045454545454545636e-02
2.300000000000000000e+01,2.913043478260869679e-02
2.400000000000000000e+01,2.791666666666666949e-02
2.500000000000000000e+01,2.680000000000000090e-02
2.600000000000000000e+01,2.576923076923076997e-02
2.700000000000000000e+01,2.481481481481481732e-02
2.800000000000000000e+01,2.392857142857143099e-02
2.900000000000000000e+01,2.310344827586207142e-02
3.000000000000000000e+01,2.233333333333333351e-02
3.100000000000000000e+01,2.161290322580645268e-02
3.200000000000000000e+01,2.093750000000000125e-02
