bits,pct_error
2.000000000000000000e+00,9.794033498249270053e+01
3.000000000000000000e+00,9.044937896118922538e+01
4.000000000000000000e+00,7.477381520650602909e+01
5.000000000000000000e+00,5.411619066938080636e+01
6.000000000000000000e+00,3.541793389118868873e+01
7.000000000000000000e+00,2.192638141251253714e+01
8.000000000000000000e+00,1.304848535325039549e+01
9.000000000000000000e+00,7.569595075884453017e+00
1.000000000000000000e+01,4.304874923201913006e+00
1.100000000000000000e+01,2.421941137899094265e+00
1.200000000000000000e+01,1.337215300935151285e+00
1.300000000000000000e+01,7.318662890198042170e-01
1.400000000000000000e+01,3.962871230338681494e-01
1.500000000000000000e+01,2.120219072201672827e-01
1.600000000000000000e+01,1.139705228772733975e-01
1.700000000000000000e+01,6.114348801133928646e-02
1.800000000000000000e+01,3.098053135901905619e-02
1.900000000000000000e+01,1.635065866206663124e-02
2.000000000000000000e+01,8.403988236047800486e-03
2.100000000000000000e+01,4.259269500715070524e-03
2.200000000000000000e+01,2.150030692327220549e-03
2.300000000000000000e+01,1.196285780964827152e-03
2.400000000000000000e+01,5.926608530806086027e-04
2.500000000000000000e+01,4.376699839658826363e-04
2.600000000000000000e+01,4.267519084499848958e-04
2.700000000000000000e+01,4.276768405924775041e-04
2.800000000000000000e+01,4.276768405924775041e-04
2.900000000000000000e+01,4.276768405924775041e-04
3.000000000000000000e+01,4.276768405924775041e-04
3.100000000000000000e+01,4.276768405924775041e-04
3.200000000000000000e+01,4.276768405924775041e-04
