bits,value
2.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,4.102518518518518363e-03
5.000000000000000000e+00,1.779039301310043619e-01
6.000000000000000000e+00,5.891303616484441230e-01
7.000000000000000000e+00,7.069236159775753592e-01
8.000000000000000000e+00,7.206749654218533863e-01
9.000000000000000000e+00,6.951812366737739612e-01
1.000000000000000000e+01,7.069625441696112400e-01
1.100000000000000000e+01,7.071604240282685083e-01
1.200000000000000000e+01,7.050659107016299387e-01
1.300000000000000000e+01,7.065417256011314873e-01
1.400000000000000000e+01,7.061146496815285944e-01
1.500000000000000000e+01,7.061146496815285944e-01
1.600000000000000000e+01,7.071151943462896661e-01
1.700000000000000000e+01,7.071151943462896661e-01
1.800000000000000000e+01,7.071151943462896661e-01
1.900000000000000000e+01,7.071151943462896661e-01
2.000000000000000000e+01,7.071151943462896661e-01
2.100000000000000000e+01,7.071151943462896661e-01
2.200000000000000000e+01,6.993700000000000472e-01
2.300000000000000000e+01,7.071151943462896661e-01
2.400000000000000000e+01,7.071151943462896661e-01
2.500000000000000000e+01,7.071151943462896661e-01
2.600000000000000000e+01,7.042863157894736492e-01
2.700000000000000000e+01,7.071151943462896661e-01
2.800000000000000000e+01,7.071151943462896661e-01
2.900000000000000000e+01,7.071151943462896661e-01
3.000000000000000000e+01,7.071151943462896661e-01
3.100000000000000000e+01,7.071151943462896661e-01
3.200000000000000000e+01,7.071151943462896661e-01
