bits,delta
3.100000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,2.828878556816016854e-03
2.500000000000000000e+01,-2.828878556816016854e-03
2.400000000000000000e+01,0.000000000000000000e+00
2.300000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,7.745194346289618892e-03
2.100000000000000000e+01,-7.745194346289618892e-03
2.000000000000000000e+01,0.000000000000000000e+00
1.900000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.500000000000000000e+01,1.000544664761071623e-03
1.400000000000000000e+01,0.000000000000000000e+00
1.300000000000000000e+01,-4.270759196028928173e-04
1.200000000000000000e+01,1.475814899501548538e-03
1.100000000000000000e+01,-2.094513326638569595e-03
1.000000000000000000e+01,1.978798586572683149e-04
9.000000000000000000e+00,1.178130749583727876e-02
8.000000000000000000e+00,-2.549372874807942502e-02
7.000000000000000000e+00,1.375134944427802708e-02
6.000000000000000000e+00,1.177932543291312362e-01
5.000000000000000000e+00,4.112264315174397611e-01
4.000000000000000000e+00,1.738014116124858566e-01
2.000000000000000000e+00,4.102518518518518363e-03
